Name,Link,Twiter,Facebook,Instagram,Youtube,Description,LastUpdate,Location,Year Publishing,Language,Content
Journal B,https://journal-b.ch/,https://twitter.com/journalb,https://www.facebook.com/journalb.bern,https://www.instagram.com/journal.b.bern/,,"Journal B is a local, independent, non-profit online media outlet covering the city of Bern. Its founders wanted to create an alternative to the two major local newspapers and contribute to local media pluralism.
Since 2012, Journal B has covered political, cultural, and everyday life topics that concern the people in and around Bern. Instead of providing daily information and breaking news, its newsroom produces independent, in-depth reporting pieces and tells stories that open up new perspectives on what is happening locally.
The multimedia content can be seen exclusively online. According to the organisation, starting as a digital medium was natural for financial reasons, but it has also been an opportunity to experiment with new multimedia formats.
The non-profit association Trägerverein Journal B owns the media outlet. Its financial resources come primarily from voluntary memberships, donations, and philanthropic grants.",23-Feb,"Bern, Switzerland",2012,German,"Entertainment and culture, Sports, Economy and business, Entrepreneurship, Journalism industry, Education, Lifestyle, Law and crime, Environment, Politics, Health and well-being, Society and human rights, Gender, Feminism, LGBTIQ+, Ethnic minorities, Religious minorities, DEIA: Diversity, equity, inclusion and accessibility, Refugees, Migration"
Vistinomer.mk,https://vistinomer.mk/,https://twitter.com/vistinomer,https://facebook.com/,,https://www.youtube.com/channel/UCEmJWcLgHr9ra5xfuJFn2Yw,"Vistinomer.mk started as a project of the Metamorphosis Foundation, but it has grown and is now recognised as one of the leading fact-checking media outlets in North Macedonia.
Vistinomer.mk analyses the promises of the political officials and presents them in a light, readable, aggregated form, together with systematic statistical data. Each identified pledge gets a grade according to the degree of fulfilment: accomplished, partly accomplished, and unaccomplished. The founders emphasise this tool, called Truthmeter, is useful for increasing the political parties' responsibility and accountability to the citizens.
Vladimir Petreski, the project's coordinator, believes that by explaining the promises and arguments, citizens are educating themselves on how to read and interpret electoral programmes, and follow and judge how much of the things written are being fulfilled.
According to Petreski, Vistinomer.mk aims to increase the knowledge not only of citizens, media and NGOs, but also of political parties and their members.",23-Jan,"Skopje, North Macedonia",2010,"English, Macedonian., Albanian","Economy and business, Economy and finance, Education, Law and crime, Politics, Health and well-being, Society and human rights, LGBTIQ+, Ethnic minorities, DEIA: Diversity, equity, inclusion and accessibility"
Center for Investigative Journalism SCOOP Macedonia,http://scoop.mk/,https://twitter.com/SCOOPMacedonia,https://www.facebook.com/CenterForInvestigativeJournalismScoopMacedonia,,https://www.youtube.com/c/CIJSCOOPMacedonia,"The Center for Investigative Journalism SCOOP Macedonia is a non-governmental and non-profit organisation that aims to promote, support, and stimulate investigative journalism in North Macedonia and the Western Balkans. It consists of a group of experienced journalists whose mission is to use investigative journalism tools to decrease corruption and improve citizens' lives by ensuring good governance, transparent institutions, and the protection of human rights.
SCOOP supports journalists by providing the financial or professional help needed for the development of investigative journalism in the country and the region. It introduced investigative journalism in the country by conducting investigations on systemic corruption and topics such as politics, the economy, and the military.
In an ongoing project, the media outlet profiles political people in the country such as members of parliament and judges, mapping their business interests, connections, and nepotism. It also produces short documentaries to present complex investigations more effectively.
The existence of SCOOP Macedonia was enabled by the Danish association of investigative journalism and a network of other centres for investigative journalism which are a part of theOCCRP network based in Sarajevo.
SCOOP also organises seminars, conferences, and lectures, and teaches investigative journalism in public universities in North Macedonia. It also funds other journalists to cover corruption stories and produces short documentaries to present complex investigations more effectively.
It publishes in three languages: Macedonian, Albanian and English.",23-Jan,"Skopje, North Macedonia",2011,"English, Albanian, Macedonian","Economy and business, Law and crime, Environment, Politics, Society and human rights, Migration"
Infosperber,https://www.infosperber.ch/,https://twitter.com/infosperber,https://www.facebook.com/infosperber,,,"Infosperber is an independent, non-profit online daily media outlet founded in 2011. It aims to provide information on fundamental rights, risks of the financial system and debt, energy, climate and transport policy, lobbying, social policy, media, growth and health policy, and geopolitical disputes, among other topics.
The organisation assumes that readers have already obtained information from other sources, and Infosperber considers itself complementary to and critical of major media outlets. The word Infosperber is translated as information sparrowhawk, referring to ""seeing what others overlook"".
The organisation targets an audience of decision-makers in society, business, politics, and all people who look beyond the information provided by mainstream media, searching to complement and contextualise it.
Infosperber's website attracts around 16,000 weekly readers in Switzerland and beyond. The media outlet reaches out to its readers through a mobile application, daily and monthly newsletters, and social media (Facebook and Twitter).
Infosperber is financed by readers' donations, of which over 90% go into producing more journalism.
Journalists produce articles for which they receive fees and expenses. Unpaid dedicated readers carry out all non-editorial tasks such as bookkeeping, donation management, marketing, IT support, translations, and proofreading. In addition, some retired journalists work voluntarily. The organisation has occasionally received grants from foundations and allocated them to specific projects, namely website renewal and mobile application development.
The media outlet is financed by the Schweizerische Stiftung zur Förderung unabhängiger Information - SSUI (in English: Swiss Foundation for the Promotion of Independent Information), which aims to promote investigative journalism of social and political relevance. The foundation's exclusive activity is to operate the non-profit media Infosperber.
The foundation's statutes and regulations guarantee that Infosperber remains independent of major publishers and interest groups. All statutes, regulations, balance sheets, income statements and detailed activity reports are published on SSUI's website.",23-Feb,"Spiegel, Switzerland",2011,"English, German, French","Entertainment and culture, Sports, Economy and business, Entrepreneurship, Economy and finance, Journalism industry, Education, Law and crime, Environment, Politics, Society and human rights, Gender, Feminism, Ethnic minorities, Migration, Technology"
Prizma,https://prizma.mk/,https://twitter.com/Prizma_BIRN,https://www.facebook.com/search/top?q=%D0%BF%D1%80%D0%B8%D0%B7%D0%BC%D0%B0,https://instagram.com/prizma.mk?igshid=YmMyMTA2M2Y=,https://www.youtube.com/channel/UCx2YX2oUUkJVdDVNiqfjTsg,"Prizma was established as an outlet for journalists without space in mainstream media to publish their stories. It produces narrative and investigative journalism, and in-depth analyses.
""Throughout the years, we have developed journalism that scratches under the surface,"" the founder, Ana Petrusheva, explained.
Prizma consists of six full-time journalists and five part-time journalists. Its journalists have won several awards, including the the EU award for Investigative Journalism for North Macedonia in 2016 for the series of stories on Dossier Telekom that year (about a corruption scheme involving the company Telecom and its relations with the Macedonian government since 2001), and in 2017, for producing a database on agricultural subventions.
According to Petrusheva, journalism awards are not the only indicator of success; as she stressed, Prizma published stories on corruption scandals that have caused societal implications but were not awarded.
""We deal with topics that we consider key for democratisation, reforms, and alignment with the EU legislation,"" she explained.
Prizma relies on grants, consultancy and training for journalists to fund its work.",23-Jan,"Skopje, North Macedonia",2013,"Macedonian, Albanian","Science, Entertainment and culture, Sports, Economy and business, Entrepreneurship, Economy and finance, Journalism industry, Education, Lifestyle, Law and crime, Health and well-being, Society and human rights, Gender, Ethnic minorities, DEIA: Diversity, equity, inclusion and accessibility, Refugees, Migration, War crimes and transitional justice, Technology"
Platform for investigative journalism and analysis (PINA),https://pina.mk/,https://twitter.com/pinamkd,https://facebook.com/%D0%9F%D0%98%D0%9D%D0%90/PINA.mk,https://instagram.com/pina.mk,,"The Platform for Investigative Journalism and Analysis (PINA) publishes investigative stories.
Its co-founder, Kristina Ozimec, hopes ""PINA will bring freshness and new energy in the national media landscape by presenting and promoting new faces in the media discourse, as well as stories ignored by the mainstream media in the country"". PINA's mission, as Ozimec describes it, is to find the weightiest stories—that is, those which deal with the everyday life of citizens.
The organisation supports young journalists journalists through journalism training. The Program for Women Journalists trains women in mobile and multimedia journalism and mentors them while they contribute to producing multimedia stories at PINA on topics including gender issues, human rights and underrepresented communities.
PINA also has a programme to mentor and support young journalists that allow them to work on texts and analyses. Furthermore, the outlet is a partner of the Network of Young Journalists.",23-Jan,"Skopje, North Macedonia",2017,Macedonian,"Science, Education, Law and crime, Environment, Health and well-being, Society and human rights, Gender, Feminism, LGBTIQ+, Ethnic minorities, Religious minorities, DEIA: Diversity, equity, inclusion and accessibility, Refugees, Migration, Technology"
eMAGAZIN,https://emagazin.mk/,https://twitter.com/emagazin2,https://facebook.com/emagazin.mk,https://instagram.com/,,"eMAGAZIN's mission is to contribute to the public good through journalism.
In 2013, the organisation started as the Association of citizens Centar za razvoj i unapreduvanje na novinarstvoto (in English: NGO Center for Development and Promotion of Journalism), thanks to a small personal investment and hoping to get project-based grant funding. Instead, the organisation was left to fight for funds and advertising, having no luck with project-based grant funding.
According to co-founder Petre Dimitrov, the team does not want to apply for funds, not even from the state, because they do not want to depend on donors.
Even though it has a small team, eMAGAZIN has had over 200,000 page views in the last 12 months, and more than 100,000 unique users. According to Dimitrov, the most common comment the team gets from the public is: ""To you, we trust.""",23-Jan,"Skopje, North Macedonia",2013,Macedonian,"Economy and business, Economy and finance, Education, Lifestyle, Law and crime, Environment, Politics, Health and well-being, Society and human rights, Gender, Feminism, LGBTIQ+, Ethnic minorities, Religious minorities, DEIA: Diversity, equity, inclusion and accessibility, Refugees, Migration, War crimes and transitional justice"
Dosie.mk,https://dosie.mk/,,https://www.facebook.com/dosie.mk,https://www.instagram.com/dosie,https://www.youtube.com/c/dosie.mk,"According to founder Kristina Mackic, the goal of Dosie.mk is to present precise and fact-checked information and produce stories with social impact. Dosie.mk wants to be seen as a platform for citizens ""and particularly to give a voice to the 'invisible' ones"".
In 2019, with the support of the USAID Balkans Media Assistance Program, the outlet developed 40 video stories capturing the impact of the country's political, economic and social development on people's everyday life. Among the topics covered in those videos was the effect of long court processes on people, the deteriorating prison conditions and mistreatment of prisoners, information on corruption and breaches of public trust.
The stories are produced through multimedia tools, including animated charts and graphs, live streams and extensive photo galleries.
Dosie.mk is a members of the Council of Media Ethics of Macedonia (CMEM). Since its foundation, it has gained the public's trust, and at present it has 100,000 monthly visitors and about 18,000 followers on Facebook.",23-Jan,"Skopje, North Macedonia",2017,Macedonian,"Law and crime, Environment, Politics, Health and well-being, Society and human rights, Gender, Ethnic minorities"
KDPolitik.com,https://kdpolitik.com/en/home/,,https://www.facebook.com/KlubiDebatitPolitik,,,"In 2015, a group of experienced journalists established a multilingual debate club to exchange ideas and thoughts on topics relevant to society. This initiative became a media outlet which sustains itself through grants and advertising. KDPolitik.com's primary focus is publishing high-quality analysis and articles.
It has reached over 80,000 page views in the last 12 months, a respectable number for a small media industry like the North Macedonian one.
The outlet cherishes pluralism through different perspectives, opinions, democratic debates and intercultural dialogue, publishing them in columns, opinion pieces, analysis and essays connected to current events.
""KDPolitik stands for openness, dialogue, transparency and accountability,"" said its editor-in-chief, Bardhyl Zaimi.",23-Jan,"Tetovo, North Macedonia",2015,"English, Albanian, Macedonian","Entertainment and culture, Sports, Economy and business, Entrepreneurship, Economy and finance, Education, Environment, Politics, Health and well-being, Society and human rights, Gender, Feminism, Ethnic minorities, DEIA: Diversity, equity, inclusion and accessibility, Migration, Technology"
Investigative Reporting Laboratory (IRL),https://irl.mk/mk/,https://twitter.com/irl,https://facebook.com/IRLMacedonia,https://instagram.com/IRLMacedonia,https://www.youtube.com/c/IRL,"IRL (acronym of Investigative Reporting Lab) aims to increase the impact of journalism and restore confidence in free journalism by publishing investigative stories. ""We are the only newsroom specialised in covering cross-border organised crime and corruption, and we have collaborated on mutual stories with at least 30 organisations from Central Asia, Russia, Europe, Africa, India and the United States,"" the co-founder, Saska Cvetkovska, said.
The team has won many national and international awards, including in 2021 the Nikola Mladenov award from the Macedonian Institute for Media for a series of stories connected to Covid-19. In 2022, it published a more exhaustive investigation for treating patients with Covid-19 in the private hospital Zan Mitrev, which initiated an inquiry by the Macedonian authorities.
In 2021, the team won the first award from the Journalists' association and UN for the story Conspiracy against the air. In 2019, IRL Macedonia won the EU investigative journalism award for North Macedonia's for their story Urban assassins.
The organisation provides a unique space for female and youth voices to participate in investigative stories and to take editorial decisions. The average age of the team is 28.5 years old, and 70% of the staff is female, with 100% of the managing staff being female.
Cvetkovska emphasises that IRL Macedonia investigations have been solely based on citizens' reports in the past year.
According to her, the organisation has the youngest audience in the country. ""IRL Macedonia's audience is 75% of people under 35, representing a unique case in the Western Balkans media industry. We have fostered direct public action: more than 25,000 citizens have written letters to various top-level officials to demand legal actions related to various wrongdoings exposed in our reports,"" she explained.",23-Jan,"Skopje, North Macedonia",2017,"English, Macedonian","Law and crime, Environment, Politics, Society and human rights, DEIA: Diversity, equity, inclusion and accessibility, War crimes and transitional justice"
Notes from Poland,https://notesfrompoland.com/,https://twitter.com/notesfrompoland,https://www.facebook.com/notesfrompoland,https://www.instagram.com/notesfrompoland_/?hl=en,https://www.youtube.com/c/BBCNews,"Notes from Poland is the leading independent source of English-language news and analyses of Polish's current affairs. The organisation provides daily reports on what is happening in the country with the insights, context, and background necessary to help the world understand it.
The daily news coverage intends to offer unbiased reporting, including all the points of view of a story, while regular analyses and opinion articles present a wide range of perspectives on Poland, both from within and outside the country.
Since its launching in 2019, the media outlet has grown to answer an increasing interest in the country. Notes from Poland was named one of the media start-ups to watch in 2021 by Sifted.eu. Its reporting and insights have been featured in various international media, including the BBC, Foreign Policy, and the Financial Times.
Notes from Poland's advisory board includes Nobel Prize winner Olga Tokarczuk, historian Norman Davies, and Timothy Garton Ash, professor of European Studies at the University of Oxford.
The non-profit Notes from Poland Foundation manages the media outlet. Notes from Poland is funded through grants and donations from readers and supporters.",23-Jan,"Kraków, Poland",2019,"English, Polish","Science, Entertainment and culture, Economy and business, Economy and finance, Education, Law and crime, Environment, Politics, Health and well-being, Society and human rights, Gender, Feminism, LGBTIQ+, Ethnic minorities, Religious minorities, DEIA: Diversity, equity, inclusion and accessibility, Refugees, Migration, War crimes and transitional justice"
Raport o Stanie Swiata,https://raportostanieswiata.pl/,https://twitter.com/DariuszRosiak,https://pl-pl.facebook.com/raportostanie/,https://www.instagram.com/dariusz_rosiak/,,"Raport o Stanie Swiata (in English: Report on the State of the World) is an independent platform producing commentaries and reports on world events through podcasts and live programmes from different locations. It was launched in February 2020.
The organisation produces the State of the World Report, a weekly dose of new stories about the world, commentaries, reports, and columns; and Report for Today, a weekly podcast published on Wednesdays, which selects one newsworthy story and talks about it as long as it takes to understand it, get to know its characters, and interpret its meaning.
Other podcasts are Book Report, in which the team discusses books and reads them with great actors' voices; Report Specials, which produces theatre productions, music concerts, and live programmes with audience participation; and Report from the Future, a radio play about how the world is changing.
In 2021, Dariusz Rosiak, the founder, received the Podcaster of 2020 award from Podcast Roku. ""For professionalism, reliability, and variety of forms within one episode. Transfer of experience from radio to the podcast.""
The State of the World Report is a programme financed by listeners through the Patronite service.",23-Jan,"Warsaw, Poland",2020,Polish,"Science, Environment, Politics, Society and human rights, Gender, Feminism, LGBTIQ+, Ethnic minorities, Religious minorities, DEIA: Diversity, equity, inclusion and accessibility, Refugees, Migration, War crimes and transitional justice"
Polityka Insight,http://www.politykainsight.pl/en,https://twitter.com/PolitykaInsight,https://www.facebook.com/PolitykaInsight,https://www.instagram.com/politykainsight/,https://www.youtube.com/c/PolitykaInsightYT,"Polityka Insight is Poland's first knowledge platform for business leaders, policymakers and diplomats. It has been active since 2013 and has three business lines: it publishes analytical services available by subscription (PI Premium, PI Finance, PI Energy, PI Energy & Climate Weekly); prepares studies, presentations and training courses on behalf of companies, public administrations and international organisations; and organises thematic debates and conferences.
Since 2017, it has been recording podcasts in which analysts and experts comment on major political and geopolitical, economic, technological, health, and energy events. Polityka Insight uses various channels of communication such as its website, newsletter and social media. It operates on a subscription model devoid of adverts and sponsored content, while most studies and all podcasts are freely available to the public (outside of the paywall).
The key to the analysts' work is to select information and data and dig deeper. They select what is relevant and investigate using the outlet's own analytical method. Polityka Insight reacts at the speed of the media, but works to the standard of academic analysis.
In a world of constant change, it provides a solid analysis of events, processes and trends, which is why Polityka Insight is recognised as an expert, opinionated and credible source.",23-Jan,"Warsaw, Poland",2013,"English, Polish","Economy and business, Entrepreneurship, Economy and finance, Journalism industry, Law and crime, Environment, Politics, Health and well-being, Society and human rights, Gender, Feminism, LGBTIQ+, Ethnic minorities, Religious minorities, DEIA: Diversity, equity, inclusion and accessibility, Refugees, Migration, Technology"
Klub Jagielloński,https://klubjagiellonski.pl/,https://twitter.com/KlubJagiellonsk,https://www.facebook.com/KJagiellonski,https://www.instagram.com/klubjagiellonski/,https://www.youtube.com/c/KlubJegiello%C5%84sk,"Klub Jagielloński (in English: the Jagiellonian Club) is an association with almost 30 years of experience. A group of Jagiellonian University students initiated the first activities of today's Klub Jagielloński in March 1988. In 1994, Klub Jagielloński was granted a legal status. Over the years, the association has organised debates, discussion meetings and seminars, published a journal of ideas, and conducted educational and expert projects.
In 2013, the association launched the website jagiellonski24, renamed Klub Jagiellonski, which publishes opinions, analyses, and essays by Klub Jagiellonski authors.
Klub Jagiellonski develops the idea of New Christian Democrats, whose pillars are republicanism, conservatism, and Catholic social teaching. Polish current events are commented on, but also lengthy analyses, expert issues, or social topics, including those that have no place in the mainstream debate. The Klub communicates its activities extensively on Facebook, Instagram, LinkedIn and Twitter, as well as through a newsletter addressed to readers and supporters.
Furthermore, the media outlet produces podcasts and YouTube videos on politics, culture, urban affairs, and international topics. These podcasts are Intercity, Devoted Culture, After America, ScepTech, QuickCulture, ClubWeekly and Dear Country.
Each month, the association organises open debates, meetings, seminars and lectures online and live, free of charge, in several cities in Poland, aiming to increase civic education and create a space to discuss relevant issues.
In the Klub, expert knowledge is combined with everyday patriotism and new technologies. The organisation developed the app Pola. Take her shopping, which educates and supports consumer patriotism.
The expert pillar of the association is the Analysis Centre, a think tank whose mission is to develop advanced diagnoses and solutions to the most significant problems of Polish public life. The centre produces cross-sectional reports and commentaries on changes in the law published on the Klub Jagiellonski. Additionally, the centre's experts provide unique knowledge to the media through various channels.
Klub Jagiellonski finances its work through grants, subsidies, donations, and crowdfunding.",23-Jan,"Kraków, Poland",2013,"English, Polish","Science, Entertainment and culture, Economy and business, Entrepreneurship, Economy and finance, Journalism industry, Education, Lifestyle, Law and crime, Environment, Politics, Health and well-being, Society and human rights, Gender, Feminism, LGBTIQ+, Ethnic minorities, Religious minorities, DEIA: Diversity, equity, inclusion and accessibility, Refugees, Migration, War crimes and transitional justice, Technology"
Kultura Liberalna,https://kulturaliberalna.pl/,https://twitter.com/kultliberalna,https://www.facebook.com/KulturaLiberalna/,https://www.instagram.com/kulturaliberalna/?hl=en,https://www.youtube.com/user/KulturaLiberalna,"Kultura Liberalna (in English: Liberal Culture) is an intellectual milieu created around a non-profit, socio-political, weekly magazine established in 2009 by a group of young academics, artists, journalists, students and freelancers.
Devoted to modernising liberal thought according to the forthcoming theoretical and practical challenges, it also strives to apply liberal ideals to the specific, Central European historical experience.
It publishes interviews, opinion pieces, and analyses on current political, social, and economic issues and developments, human rights, the rule of law, climate change, geopolitics, film, theatre, books, and music reviews.
It publishes 52 online weekly magazines annually, released every Tuesday, organises public debates and seminars, and publishes books on contemporary politics and culture.
Kultura Liberalna aims to build a better Poland for future generations. Furthermore, it seeks to strengthen and modernise Polish liberal thought in line with the experiences of Central and Eastern Europe, and to participate in international debates on socio-political and cultural issues.
The team is independent of politicians and advertisers.
Kultura Liberalna emphasises the intellectual and linguistic quality of the published articles. Established as a leading liberal magazine in Poland, its contributors include many eminent scholars, artists, politicians, and journalists such as: Lech Walesa, Saskia Sassen, Timothy Garton-Ash, Michael Walzer, Paul Berman, Adam Michnik, Richard Wolin, Quentin Skinner, Zygmunt Bauman, Aleksander Smolar, Krzysztof Penderecki, and Agnieszka Holland.",23-Jan,"Warsaw, Poland",2009,"English, Polish, German, French","Entertainment and culture, Economy and business, Economy and finance, Education, Law and crime, Environment, Politics, Health and well-being, Society and human rights, Gender, Feminism, LGBTIQ+, Ethnic minorities, Religious minorities, DEIA: Diversity, equity, inclusion and accessibility, Refugees, Migration, War crimes and transitional justice"
Radio Nowy Swiat,https://nowyswiat.online/,https://twitter.com/RadioNowySwiat?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://pl-pl.facebook.com/RadioNowySwiat/,https://www.instagram.com/radio_nowyswiat/,,"Radio Nowy Swiat (in English: New World Radio) was created thanks to a group of journalists who, over the past few years, have attempted to develop the first internet radio for listeners for whom radio is more than just a medium. Polish journalists, formerly from public radio, founded the internet radio following redundancies by the new government, led by the Law and Justice party.
It aims to be the first commercial radio station; that is why the media outlet has already taken young talents and budding reporters under its wings and plans to promote Polish bands who, for various reasons, fail to make their way through the mainstream. The organisation will patronise cultural events, records, concerts, and literary meetings, mixing and turning things upside down.
To become patrons of Radio New World, people have two options: support the radio via Patronite or directly donate to the radio's account.",23-Jan,"Warsaw, Poland",2021,Polish,"Entertainment and culture, Lifestyle, Politics, Society and human rights"
Outriders,https://outride.rs/pl/,https://twitter.com/outrid3rs,https://www.facebook.com/outrid3rs/,https://www.instagram.com/outrid3rs/,,"Founded in 2017, Outriders is a non-profit newsroom covering global issues with an impact on the life of local citizens. The newsroom seeks answers to problems, fears, and needs.
It comprises a group of journalists reporting and explaining phenomena and events worldwide. There is less and less room in newsrooms for experienced reporters and foreign correspondents because their work is too expensive. Airtime devoted to global affairs is declining. At Outriders they cover the world because they are finding it harder and harder to understand it.
The newsroom experiments with new narrative formats; for example, it publishes reportage with a computer game and a storyline.
Outriders is a non-partisan organisation that aims to publish unbiased, accurate, and reliable information, working alongside journalists reporting from the ground.
Outriders publishes a magazine and a podcast, organises a festival, and produces a range of innovative products and materials. It also runs a club that brings together people who want to understand the changes happening in the world.
In 2017, Outriders received the Grand Press Digital Award for its innovative approach to journalism using new technologies.",23-Jan,"Warsaw, Poland",2017,"English, Polish","Economy and business, Economy and finance, Education, Lifestyle, Environment, Politics, Health and well-being, Society and human rights, Gender, Feminism, LGBTIQ+, Ethnic minorities, Religious minorities, DEIA: Diversity, equity, inclusion and accessibility, Refugees, Migration, War crimes and transitional justice"
Frog News,https://frognews.bg/,https://twitter.com/FROGNEWSBG,https://www.facebook.com/profile.php?id=100041181593125,,,"The media outlet covers news, culture, and lifestyle; however, it stands for its investigative articles on law and crime, including prosecution, court, and police activities. It was founded in 2007 by Bulgarian investigative journalist Ognyan Stefanov.
Stefanov was brutally attacked in 2008 due to his investigations.
""The goal of the media outlet is to be independent and to stay behind our society's interests only,"" the founder explained. Frog News strives to provide quality information to readers while abiding by the highest journalist standards.
""The Frog News team strives to present learned information originally, to wake up, not put readers to bed. We do not avoid scandals, but look for them; if they are hidden, we provoke them to come to light,"" the website states.",22-Dec,"Sofia, Bulgaria",2007,Bulgarian,"Entertainment and culture, Sports, Economy and business, Education, Lifestyle, Law and crime, Environment, Politics, Health and well-being, Society and human rights, Technology"
Mediapool.bg,https://www.mediapool.bg/,https://twitter.com/Mediapoolbg,,https://www.instagram.com/mediapool.bg/,https://www.youtube.com/channel/UC8SmoUezKPHy_LNPjSru1BA,"Mediapool.bg is an independent news site. It covers stories of public interest, providing reliable facts, background, and analyses of the stories as they unfold. Mediapool.bg is a news site with entirely open access, including its archive.
The media outlet was launched in 2001 by the former director of the Government's Information Service, Stoyana Georgieva, who was also the public relations manager of the centre-right, pro-EU and pro-NATO Prime Minister, Ivan Kostov (1997-2001).
""In an increasingly deteriorating media environment and a steadily declining press freedom in Bulgaria, Mediapool.bg is one of the few news outlets in the country which continues to deliver trustworthy information to the public. Our reporters produce high-quality journalism thanks to their constant push for answers and a deep and comprehensive understanding of their respective fields,"" Georgieva said.
Mediapool.bg is entirely free, following citizens' fundamental right to be informed, as a well-informed public is the only way to keep power in check, which is a vital element of a functional democracy.",22-Dec,"Sofia, Bulgaria",2001,Bulgarian,"Science, Entertainment and culture, Sports, Economy and business, Education, Lifestyle, Law and crime, Environment, Politics, Society and human rights, Technology"
Alternativata,https://alternativata.bg/,,https://www.facebook.com/Alternativat,https://www.instagram.com/alternativatabg/,https://www.youtube.com/c/AlternativataBG,"Alternativata is a platform providing a space for independent journalists; its main project is a Youtube show called Alternativata. It has two additional shows: Alternatives: The Week, a one-hour weekly political show where guests present their points of view on the week's most important stories in Bulgaria, and Alternatives: Alarm Clock, a weekly show that mixes information and entertainment.
Alternativata is 100% funded by its viewers; it does not receive revenue from advertising, and none of its shows feature ads.
The organisation was founded by the former ambassador of Bulgaria to the Russian Federation, energy expert, and analyst Ilian Vassilev. The media outlet started inviting national security and energy experts to write analyses; after, some Bulgarian TV journalists founded the TV show on YouTube. Now, TV1 Bulgaria broadcasts the show as a weekly TV show.
Behind Alternativata is the Alternativi i Analizi Foundation (in English: Alternative and Analyses), created in 2019 by associates and friends of Alex Alexiev. The aim was to continue studying long-term trends in international relations in Southeastern and Eastern Europe and the Black Sea region, energy security, Russia-EU and Russia-NATO relations, climate change, and development in Bulgaria and the Balkans.
The foundation produces information in two sections: the first is the shows; the second is publishing research, briefings, newsletters, and analyses, including disinformation and hybrid policies. The information is published on the website Altanalyses.",23-Jan,"Sofia, Bulgaria",2019,"English, Bulgarian, Russian","Economy and business, Entrepreneurship, Economy and finance, Journalism industry, Law and crime, Politics, Society and human rights, War crimes and transitional justice"
Armėno radijas,https://soundcloud.com/armenoradijas,,https://www.facebook.com/ARMENORADIJAS/,https://www.instagram.com/armenoradijas/?hl=en,https://www.youtube.com/c/armenoradijas,"Armėno radijas (in English: The Radio of an Armenian) is a podcast named after the ethnic origin of its only host, Marius Sukesian.
The podcaster produces audio commentaries, documentaries, and interviews on YouTube in the Lithuanian language. His goal is to provide ""quality productions for advanced minds"".
The podcast is financed by a community of supporters, who donate through Contribee and Patreon.",23-Jan,"Vilnius, Lithuania",2018,Lithuanian,"Science, Entertainment and culture, Economy and business, Law and crime, Environment, Politics, Health and well-being, Society and human rights, Technology"
Momichetata ot Grada,https://momichetata.com/,,https://www.facebook.com/momichetataotgrada,https://www.instagram.com/momichetata/,https://www.youtube.com/channel/UCAgjHkM2U_Vr4UVwGXBzLDg/featured,"Momichetata ot Grada (in English: The Girls from the City) is one of Bulgaria's largest independent women's sites. It covers urban culture, fashion, photography, lifestyle, literature, theatre, cinema, and food. The team aims to publish information about inspiring women of all ages that change the world around them in a positive way.
Momichetata ot Grada became popular when the magazine won the Website of the Year award from Forbes Bulgaria Magazine.
The organisation's team has also launched a printed magazine, and another website with news about Sofia, called Ot Grada (in English: From the City).
The team has also launched Mish Mash Fest, a street festival with books and handcrafted objects, located in Sofia's downtown Slaveykov Square.",22-Dec,"Sofia, Bulgaria",2011,Bulgarian,"Entertainment and culture, Education, Lifestyle, Politics, Health and well-being, Society and human rights, Gender, Feminism, LGBTIQ+, DEIA: Diversity, equity, inclusion and accessibility"
Bulgarian History,https://bulgarianhistory.org/,https://twitter.com/historybg,https://www.facebook.com/bulgarian.history1,https://www.instagram.com/bulgarianhistory/,https://www.youtube.com/user/BulgarianHistory1,"Bulgarian History is an online media platform specialising in the country's history. The media outlet aims to preserve and popularise Bulgaria's past through active publishing and production activities.
Apart from the media platform, the organisation has an online store with more than 100 educational publications.
Bulgarian History's most active communication channels are its Facebook page, followed by nearly 400,000 people, and its YouTube channel, with over 100,000 subscribers. YouTube is the platform chosen by the organisation to develop its production activity, including hundreds of short films.
Since its establishment in 2012, Bulgarian History has been working towards reviving historical memory, strengthening national pride, and reviving forgotten personalities and episodes from the recent and distant past.
Bulgarian History aims to reach everyone interested in the popular aspect of history, with priority given to the younger generation. That's why the team has been actively and voluntarily visiting schools since 2013. The organisation has met with more than 10,000 students over the last 10 years.
Bulgarian History is the winner of the 2020 Site of the Year Award for its overall contributions, and the Golden Lion Award for a publishing project with public significance.",22-Dec,"Sofia, Bulgaria",2012,Bulgarian,"Science, Entertainment and culture, Education, Society and human rights, War crimes and transitional justice"
